date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:58	50316/50316	---M--	200	added ('OK')	image/png	etag:%225c414939-c48c%22	http://www.xywenxin.com/Template/pc/0/resources/images/gx_06.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/gx_06.png	(from http://www.xywenxin.com/)
11:19:58	1198/1198	---M--	200	added ('OK')	image/png	etag:%225c3be1d2-4ae%22	http://www.xywenxin.com/Template/pc/0/resources/images/sy_jt2.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/sy_jt2.png	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:19:59	1202/1202	---M--	200	added ('OK')	image/png	etag:%225c3be1d3-4b2%22	http://www.xywenxin.com/Template/pc/0/resources/images/sy_jt1.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/sy_jt1.png	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:19:59	1049/1049	---M--	200	added ('OK')	image/png	etag:%225c3be1cc-419%22	http://www.xywenxin.com/Template/pc/0/resources/images/jt_03.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/jt_03.png	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:19:59	1381/1381	---M--	200	added ('OK')	image/jpeg	etag:%225c3be1d5-565%22	http://www.xywenxin.com/Template/pc/0/resources/images/xlbj_03.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/xlbj_03.jpg	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:00	17639/17639	---M--	200	added ('OK')	image/png	etag:%225c42dc56-44e7%22	http://www.xywenxin.com/Template/pc/0/resources/images/fh6.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/fh6.png	(from http://www.xywenxin.com/)
11:20:00	1396/1396	---M--	200	added ('OK')	image/jpeg	etag:%225c3be1d5-574%22	http://www.xywenxin.com/Template/pc/0/resources/images/xlbj_05.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/xlbj_05.jpg	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:00	1350/1350	---M--	200	added ('OK')	image/jpeg	etag:%225c3be1d8-546%22	http://www.xywenxin.com/Template/pc/0/resources/images/xlbj_07.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/xlbj_07.jpg	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:09	53936/53936	---M--	200	added ('OK')	image/jpeg	etag:%225c3be1cd-d2b0%22	http://www.xywenxin.com/Template/pc/0/resources/images/jbo_ban_02.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/jbo_ban_02.jpg	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:09	1181/1181	---M--	200	added ('OK')	image/png	etag:%225c3be1c8-49d%22	http://www.xywenxin.com/Template/pc/0/resources/images/img2.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/img2.png	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:10	1322/1322	---M--	200	added ('OK')	image/png	etag:%225c3be1cc-52a%22	http://www.xywenxin.com/Template/pc/0/resources/images/jt_05.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/jt_05.png	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:14	100866/100866	---M--	200	added ('OK')	image/jpeg	etag:%225c3be1c2-18a02%22	http://www.xywenxin.com/Template/pc/0/resources/images/bz_02.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/bz_02.jpg	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:15	1582/1582	---M--	200	added ('OK')	image/png	etag:%225c3be1ce-62e%22	http://www.xywenxin.com/Template/pc/0/resources/images/lv_03.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/lv_03.png	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:15	2461/2461	---M--	200	added ('OK')	image/png	etag:%225c492d97-99d%22	http://www.xywenxin.com/Template/pc/0/resources/images/ceo_03.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/ceo_03.png	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:36	162714/162714	---M--	200	added ('OK')	image/jpeg	etag:%225c3be1c1-27b9a%22	http://www.xywenxin.com/Template/pc/0/resources/images/about_ban_02.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/about_ban_02.jpg	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:37	1753/1753	---M--	200	added ('OK')	image/jpeg	etag:%225c3be1c8-6d9%22	http://www.xywenxin.com/Template/pc/0/resources/images/dw_03.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/dw_03.jpg	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:37	2441/2441	---M--	200	added ('OK')	image/png	etag:%225c3be1ce-989%22	http://www.xywenxin.com/Template/pc/0/resources/images/next1.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/next1.png	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:38	2422/2422	---M--	200	added ('OK')	image/png	etag:%225c3be1d2-976%22	http://www.xywenxin.com/Template/pc/0/resources/images/prev1.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/prev1.png	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:50	311403/311403	---M--	200	added ('OK')	image/jpeg	etag:%225c3be1bd-4c06b%22	http://www.xywenxin.com/Template/pc/0/resources/images/abbj_02.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/abbj_02.jpg	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:54	237211/237211	---M--	200	added ('OK')	image/jpeg	etag:%225c4fce5e-39e9b%22	http://www.xywenxin.com/Template/pc/0/resources/images/mdban_02.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/mdban_02.jpg	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:56	10693/10693	---M--	200	added ('OK')	image/jpeg	etag:%225c3be1c8-29c5%22	http://www.xywenxin.com/Template/pc/0/resources/images/jmbj_02.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/jmbj_02.jpg	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
11:20:56	481/481	---M--	404	error ('Not%20Found')	text/html	etag:%225c4ab148-1e1%22	http://www.xywenxin.com/Template/pc/0/resources/images/biggerdot.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/biggerdot.png	(from http://www.xywenxin.com/Template/pc/0/resources/css/main.css?v1.001)
